SampleID,Latitude,Longitude,Group,Run,SRAStudy
RP099,42.144,-114.2428,NOR,SRR1801030,SRP054739
RP093,38.793,-116.8592,UTA,SRR1801019,SRP054739
RP097,45.853,-113.4385,NA,SRR1800977,SRP054739
RP067,38.707,-106.8045,COL,SRR1800890,SRP054739
RP091,42.163,-114.2638,NOR,SRR1800934,SRP054739
RP028,42.499,-110.7949,Admixed,SRR1800891,SRP054739
RP037,44.406,-115.2858,WES,SRR1800964,SRP054739
RP203,44.729,-114.3323,NOR,SRR1800906,SRP054739
RP199,44.404,-103.9384,COL,SRR1800889,SRP054739
RP138,44.963,-114.6558,NOR,SRR1801001,SRP054739
RP085,38.301,-107.3558,COL,SRR1801011,SRP054739
RP014,41.844,-115.4473,NOR,SRR1800994,SRP054739
RP036,38.9885,-107.0068,COL,SRR1800899,SRP054739
RP041,44.965,-114.6021,WES,SRR1801022,SRP054739
RP049,44.941,-113.8474,NOR,SRR1801041,SRP054739
RP064,44.674,-114.5582,NOR,SRR1800926,SRP054739
RP065,38.9761,-106.9897,COL,SRR1800980,SRP054739
RP079,44.494,-114.734,NOR,SRR1801023,SRP054739
RP033,43.497,-110.9544,WES,SRR1801018,SRP054739
RP001,38.506,-109.3189,COL,SRR1800874,SRP054739
RP077,38.9695,-106.9672,COL,SRR1800983,SRP054739
RP026,40.693,-109.4946,COL,SRR1800925,SRP054739
RP031,39.761,-110.9194,COL,SRR1800936,SRP054739
RP016,43.792,-114.5737,NOR,SRR1801039,SRP054739
RP175,38.976,-106.9986,COL,SRR1800992,SRP054739
RP213,44.536,-112.618,NOR,SRR1800954,SRP054739
RP180,unknown,unknown,NA,SRR1800962,SRP054739
RP211,45.541,-113.8265,NA,SRR1801024,SRP054739
RP169,44.457,-114.7529,NOR,SRR1801049,SRP054739
RP216,44.718,-114.6219,NOR,SRR1800929,SRP054739
RP173,41.801,-115.479,NOR,SRR1801016,SRP054739
RP215,44.556,-112.639,NA,SRR1800968,SRP054739
RP162,43.875,-114.7149,NOR,SRR1800996,SRP054739
RP219,38.965,-112.0988,UTA,SRR1800935,SRP054739
RP167,44.416,-115.4703,WES,SRR1800897,SRP054739
RP218,45.634,-112.925,NA,SRR1801028,SRP054739
RP024,44.355,-113.2623,NOR,SRR1801005,SRP054739
RP159,44.492,-115.007,NOR,SRR1800922,SRP054739
RP018,44.453,-112.9163,NA,SRR1801027,SRP054739
RP161,46.268,-111.9275,WES,SRR1801045,SRP054739
RP158,45.87,-113.2264,NA,SRR1800937,SRP054739
RP182,unknown,unknown,NA,SRR1801025,SRP054739
RP080,44.9663,-114.0854,NOR,SRR1800963,SRP054739
RP187,41.746,-115.4676,NOR,SRR1800919,SRP054739
RP082,44.364,-113.234,NOR,SRR1800947,SRP054739
RP185,43.931,-114.8528,NOR,SRR1800895,SRP054739
RP084,44.523,-112.1925,NA,SRR1800888,SRP054739
RP087,44.1826,-113.7429,NOR,SRR1800930,SRP054739
RP202,45.1185,-114.1584,WES,SRR1800877,SRP054739
RP137,44.968,-114.121,WES,SRR1800965,SRP054739
RP200,44.296,-115.4799,WES,SRR1800916,SRP054739
RP015,38.945,-106.9884,COL,SRR1800885,SRP054739
RP197,44.348,-113.4761,NOR,SRR1801002,SRP054739
RP075,40.736,-110.8676,UTA,SRR1800880,SRP054739
RP076,44.941,-114.1211,WES,SRR1800973,SRP054739
RP209,45.537,-113.8291,NA,SRR1801007,SRP054739
RP206,44.2316,-113.8381,NOR,SRR1801015,SRP054739
RP204,44.9706,-114.0863,NOR,SRR1800938,SRP054739
RP156,38.958,-106.9888,COL,SRR1800914,SRP054739
RP109,45.547,-113.7632,WES,SRR1800939,SRP054739
RP111,38.762,-106.8628,COL,SRR1800917,SRP054739
RP106,45.72,-113.9942,WES,SRR1800912,SRP054739
