SampleID,Latitude,Longitude,Group,Run,SRAStudy
RP095,42.596,-110.5083,UTA,SRR1801017,SRP054739
RP103,44.6069,-114.5339,NOR,SRR1801048,SRP054739
RP098,44.444,-115.0893,WES,SRR1800970,SRP054739
RP010,44.622,-114.4968,NOR,SRR1800976,SRP054739
RP017,45.6544,-113.7867,WES,SRR1801043,SRP054739
RP100,38.51,-109.3188,COL,SRR1800998,SRP054739
RP217,43.003,-109.7539,Admixed,SRR1800882,SRP054739
RP165,36.406,-112.0917,UTA,SRR1800893,SRP054739
RP198,44.421,-112.876,NA,SRR1800905,SRP054739
RP190,41.922,-111.4783,UTA,SRR1801032,SRP054739
RP160,44.3904,-113.4183,NOR,SRR1800879,SRP054739
RP155,42.506,-110.6781,Admixed,SRR1800955,SRP054739
RP153,38.543,-109.3018,COL,SRR1800984,SRP054739
RP139,40.544,-106.625,COL,SRR1800902,SRP054739
RP149,43.768,-113.9014,WES,SRR1800913,SRP054739
RP151,38.85,-107.1009,COL,SRR1801038,SRP054739
RP164,38.963,-106.9876,COL,SRR1800956,SRP054739
RP319,44.17648,-113.77137,NOR,SRR1800997,SRP054739
RP044,42.97,-109.7662,Admixed,SRR1801036,SRP054739
RP321,44.1972,-113.7568,NOR,SRR1801046,SRP054739
RP029,38.856,-107.0613,COL,SRR1800884,SRP054739
RP083,38.775,-106.6269,COL,SRR1801044,SRP054739
RP317,44.181767,-113.75175,NOR,SRR1800950,SRP054739
RP051,38.898,-107.2026,COL,SRR1800873,SRP054739
RP210,44.834,-118.2477,WES,SRR1800941,SRP054739
RP196,40.823,-110.8634,UTA,SRR1801029,SRP054739
RP322,44.185167,-113.766,NOR,SRR1800900,SRP054739
RP311,44.187667,-113.753333,NOR,SRR1800952,SRP054739
RP312,44.18955,-113.743433,NOR,SRR1800995,SRP054739
RP323,44.179833,-113.775167,NOR,SRR1800887,SRP054739
RP314,44.18378,-113.72662,NOR,SRR1801021,SRP054739
RP192,44.411,-115.372,WES,SRR1800978,SRP054739
RP179,44.791,-113.3126,NOR,SRR1800907,SRP054739
RP181,37.612,-112.8303,UTA,SRR1800993,SRP054739
RP150,45.679,-113.8328,WES,SRR1800878,SRP054739
RP152,39.864,-105.4447,COL,SRR1800886,SRP054739
RP146,39,-107.0223,COL,SRR1800987,SRP054739
RP053,44.288,-115.4813,WES,SRR1800989,SRP054739
RP032,40.39963,-106.119,COL,SRR1800883,SRP054739
RP042,40.001,-105.4681,COL,SRR1800982,SRP054739
RP035,44.61562,-114.51843,NOR,SRR1801013,SRP054739
HET21,39.64888,-107.15913,COL,SRR1801009,SRP054739
RP034,39.90667,-105.51717,COL,SRR1800931,SRP054739
RP147,44.475,-114.7307,WES,SRR1800928,SRP054739
RP320,44.1727,-113.77018,NOR,SRR1800910,SRP054739
RP130,45.534,-113.08,WES,SRR1800908,SRP054739
RP313,44.188417,-113.74665,NOR,SRR1801035,SRP054739
RP316,44.19465,-113.741267,NOR,SRR1800875,SRP054739
RP166,44.41,-114.4077,NOR,SRR1800932,SRP054739
RP174,45.1564,-114.1517,WES,SRR1801000,SRP054739
RP214,38.966,-111.5722,UTA,SRR1801004,SRP054739
RP184,43.839,-114.2947,NOR,SRR1800986,SRP054739
RP128,45.1155,-114.1442,WES,SRR1800999,SRP054739
RP133,40.08,-105.5325,COL,SRR1800979,SRP054739
RP140,42.322,-113.6194,NOR,SRR1800960,SRP054739
RP048,44.616,-114.5184,NOR,SRR1800911,SRP054739
RP021,37.913,-119.2576,WES,SRR1800988,SRP054739
RP148,48.706,-120.6722,WES,SRR1801042,SRP054739
RP141,44.551,-112.6168,NOR,SRR1800958,SRP054739
RP145,40.612,-115.3709,UTA,SRR1800881,SRP054739
RP143,42.485,-110.545,UTA,SRR1800942,SRP054739
RP116,44.642,-114.529,NOR,SRR1801008,SRP054739
RP126,44.865,-114.298,WES,SRR1800915,SRP054739
RP089,45.2,-115.9902,WES,SRR1801047,SRP054739
RP094,44.754,-114.6794,NOR,SRR1800971,SRP054739
RP078,44.967,-114.0853,NOR,SRR1800985,SRP054739
RP074,45.703,-113.9852,WES,SRR1800892,SRP054739
RP073,39.951,-105.5936,COL,SRR1800901,SRP054739
RP072,45.705,-113.9887,WES,SRR1800966,SRP054739
RP070,45.71,-113.9981,WES,SRR1800903,SRP054739
RP069,44.948,-114.0741,NOR,SRR1801040,SRP054739
RP061,44.4112,-113.4175,NOR,SRR1800991,SRP054739
RP058,40.309,-106.0621,COL,SRR1800921,SRP054739
