sample_name	library_name	pool_name	ploidy	file_name_r1	file_name_r2	adaptor_1	adaptor_2	ref	rgid	rglb	rgpl	rgpu	rgsm
SRR1034299			2	SRR1034299_1.fastq.gz	SRR1034299_2.fastq.gz				Mtruncatula_HM042_SRR1034299		ILLUMINA		Mtruncatula_HM042
SRR1034298			2	SRR1034298_1.fastq.gz	SRR1034298_2.fastq.gz				Mtruncatula_HM032_SRR1034298		ILLUMINA		Mtruncatula_HM032
SRR1034297			2	SRR1034297_1.fastq.gz	SRR1034297_2.fastq.gz				Mtruncatula_HM047_SRR1034297		ILLUMINA		Mtruncatula_HM047
SRR1034296			2	SRR1034296_1.fastq.gz	SRR1034296_2.fastq.gz				Mtruncatula_HM049_SRR1034296		ILLUMINA		Mtruncatula_HM049
SRR1034295			2	SRR1034295_1.fastq.gz	SRR1034295_2.fastq.gz				Mtruncatula_HM111_SRR1034295		ILLUMINA		Mtruncatula_HM111
SRR1034294			2	SRR1034294_1.fastq.gz	SRR1034294_2.fastq.gz				Mtruncatula_HM068_SRR1034294		ILLUMINA		Mtruncatula_HM068
SRR1034293			2	SRR1034293_1.fastq.gz	SRR1034293_2.fastq.gz				Mtruncatula_HM050_SRR1034293		ILLUMINA		Mtruncatula_HM050
SRR1034292			2	SRR1034292_1.fastq.gz	SRR1034292_2.fastq.gz				Mtruncatula_HM050_SRR1034292		ILLUMINA		Mtruncatula_HM050
SRR1034291			2	SRR1034291_1.fastq.gz	SRR1034291_2.fastq.gz				Mtruncatula_HM034_SRR1034291		ILLUMINA		Mtruncatula_HM034
SRR1034290			2	SRR1034290_1.fastq.gz	SRR1034290_2.fastq.gz				Mtruncatula_HM035_SRR1034290		ILLUMINA		Mtruncatula_HM035
SRR1034289			2	SRR1034289_1.fastq.gz	SRR1034289_2.fastq.gz				Mtruncatula_HM037_SRR1034289		ILLUMINA		Mtruncatula_HM037
SRR1034288			2	SRR1034288_1.fastq.gz	SRR1034288_2.fastq.gz				Mtruncatula_HM072_SRR1034288		ILLUMINA		Mtruncatula_HM072
SRR1034287			2	SRR1034287_1.fastq.gz	SRR1034287_2.fastq.gz				Mtruncatula_HM046_SRR1034287		ILLUMINA		Mtruncatula_HM046
SRR1034286			2	SRR1034286_1.fastq.gz	SRR1034286_2.fastq.gz				Mtruncatula_HM048_SRR1034286		ILLUMINA		Mtruncatula_HM048
SRR1034285			2	SRR1034285_1.fastq.gz	SRR1034285_2.fastq.gz				Mtruncatula_HM033_SRR1034285		ILLUMINA		Mtruncatula_HM033
SRR1034284			2	SRR1034284_1.fastq.gz	SRR1034284_2.fastq.gz				Mtruncatula_HM073_SRR1034284		ILLUMINA		Mtruncatula_HM073
SRR1034283			2	SRR1034283_1.fastq.gz	SRR1034283_2.fastq.gz				Mtruncatula_HM077_SRR1034283		ILLUMINA		Mtruncatula_HM077
SRR1034282			2	SRR1034282_1.fastq.gz	SRR1034282_2.fastq.gz				Mtruncatula_HM077_SRR1034282		ILLUMINA		Mtruncatula_HM077
SRR1034281			2	SRR1034281_1.fastq.gz	SRR1034281_2.fastq.gz				Mtruncatula_HM245_SRR1034281		ILLUMINA		Mtruncatula_HM245
SRR1034280			2	SRR1034280_1.fastq.gz	SRR1034280_2.fastq.gz				Mtruncatula_HM244_SRR1034280		ILLUMINA		Mtruncatula_HM244
SRR1034279			2	SRR1034279_1.fastq.gz	SRR1034279_2.fastq.gz				Mtruncatula_HM243_SRR1034279		ILLUMINA		Mtruncatula_HM243
SRR1034278			2	SRR1034278_1.fastq.gz	SRR1034278_2.fastq.gz				Mtruncatula_HM242_SRR1034278		ILLUMINA		Mtruncatula_HM242
SRR1034277			2	SRR1034277_1.fastq.gz	SRR1034277_2.fastq.gz				Mtruncatula_HM241_SRR1034277		ILLUMINA		Mtruncatula_HM241
SRR1034276			2	SRR1034276_1.fastq.gz	SRR1034276_2.fastq.gz				Mtruncatula_HM240_SRR1034276		ILLUMINA		Mtruncatula_HM240
SRR1034275			2	SRR1034275_1.fastq.gz	SRR1034275_2.fastq.gz				Mtruncatula_HM239_SRR1034275		ILLUMINA		Mtruncatula_HM239
SRR1034274			2	SRR1034274_1.fastq.gz	SRR1034274_2.fastq.gz				Mtruncatula_HM238_SRR1034274		ILLUMINA		Mtruncatula_HM238
SRR1034273			2	SRR1034273_1.fastq.gz	SRR1034273_2.fastq.gz				Mtruncatula_HM237_SRR1034273		ILLUMINA		Mtruncatula_HM237
SRR1034272			2	SRR1034272_1.fastq.gz	SRR1034272_2.fastq.gz				Mtruncatula_HM236_SRR1034272		ILLUMINA		Mtruncatula_HM236
SRR1034271			2	SRR1034271_1.fastq.gz	SRR1034271_2.fastq.gz				Mtruncatula_HM225_SRR1034271		ILLUMINA		Mtruncatula_HM225
