"Supporting Information Table S1 Sampling origins and associated climate variables for genotypes used in this study. Transect and population-within-transect are also given. Also indicated are the samples included in the regression of mean annual temperature on height for comparison with altitudinal transects (Fig. 1c), as well as the samples excluded to assess the effects of possible P. balsamifera introgression on bayescan results. Climate variable abbreviations: MAT, mean annual temperature; MWMT, mean warmest month temperature; MCMT, mean coldest month temperature; TD, temperature differential; MAP, mean annual precipitation; MSP, mean summer precipitation; AHM, annual heat moisture index; SHM, summer heat moisture index; Eref, Hargrave's reference evapotranspiration.",,,,,,,,,,,,,,,,
ID,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,Eref,Population,Transect,Included in regression of height/MAT for latitudinal transect?,Excluded for testing effects of P. balsamifera introgression?
CC02,50.33427,-122.54903,820,4.7,15.1,-5.5,20.6,1523,333,9.6,45.3,598,CC,Highway_99,No,No
CC00,50.33305,-122.55003,813,4.7,15.2,-5.5,20.6,1529,333,9.6,45.5,601,CC,Highway_99,No,No
PA19,50.30853,-122.76662,205,7.2,18,-3.6,21.5,1382,270,12.5,66.7,696,PA,Highway_99,No,No
PA18,50.30839,-122.76474,205,7.2,18,-3.5,21.5,1381,269,12.5,66.8,696,PA,Highway_99,No,No
PA16,50.30671,-122.76273,205,7.2,18,-3.5,21.5,1381,269,12.5,66.7,695,PA,Highway_99,No,No
PA14,50.30554,-122.76131,205,7.2,18,-3.5,21.5,1380,269,12.5,66.7,694,PA,Highway_99,No,No
PA13,50.30505,-122.76171,205,7.2,17.9,-3.5,21.5,1381,269,12.4,66.6,693,PA,Highway_99,No,No
PA12,50.30415,-122.75669,205,7.2,18,-3.5,21.5,1378,269,12.5,66.8,694,PA,Highway_99,No,No
PA11,50.30407,-122.74107,205,7.3,18.1,-3.4,21.5,1372,270,12.6,67,696,PA,Highway_99,No,No
PA10,50.30372,-122.75432,205,7.2,18,-3.5,21.5,1377,269,12.5,66.9,694,PA,Highway_99,No,No
PA09,50.30365,-122.7536,205,7.2,18,-3.5,21.5,1377,269,12.5,66.9,694,PA,Highway_99,No,No
PA07,50.30345,-122.75259,205,7.2,18,-3.5,21.5,1376,269,12.5,67,694,PA,Highway_99,No,No
PA06,50.30337,-122.75172,205,7.2,18,-3.5,21.5,1376,269,12.5,67,694,PA,Highway_99,No,No
PA04,50.30318,-122.74972,205,7.2,18,-3.5,21.5,1375,269,12.5,67.1,694,PA,Highway_99,No,No
PA03,50.30311,-122.74348,205,7.3,18,-3.4,21.5,1374,270,12.6,66.9,695,PA,Highway_99,No,No
PA02,50.30289,-122.74742,205,7.3,18,-3.5,21.5,1375,269,12.6,67,694,PA,Highway_99,No,No
LI00,50.3,-122.75,222,7.1,17.9,-3.6,21.5,1378,269,12.4,66.5,690,MESMSWELLI,Latitude,No,No
LI12,50.3,-122.75,222,7.1,17.9,-3.6,21.5,1378,269,12.4,66.5,690,MESMSWELLI,Latitude,No,No
SM07,50.283,-125.866667,30,8.4,16.2,1.3,14.9,1962,414,9.4,39,623,MESMSWELLI,Latitude,No,No
SM04,50.267,-125.833333,30,8.4,16.2,1.5,14.7,1981,415,9.3,38.9,622,MESMSWELLI,Latitude,No,No
