"Pop","ID","Lat","Long","Alt"
"ANN_19","ANN0987",36.7268,-104.01913,2090
"ANN_19","ANN0988",36.7268,-104.01913,2090
"ANN_19","ANN0989",36.7268,-104.01913,2090
"ANN_19","ANN0990",36.7268,-104.01913,2090
"ANN_20","ANN0991",38.44366,-107.62928,2390
"ANN_20","ANN0992",38.44366,-107.62928,2390
"ANN_20","ANN0993",38.44366,-107.62928,2390
"ANN_20","ANN0994",38.44366,-107.62928,2390
"ANN_20","ANN0995",38.44366,-107.62928,2390
"ANN_20","ANN0996",38.44366,-107.62928,2390
"ANN_20","ANN0997",38.44366,-107.62928,2390
"ANN_20","ANN0998",38.44366,-107.62928,2390
"ANN_20","ANN0999",38.44366,-107.62928,2390
"ANN_20","ANN01000",38.44366,-107.62928,2390
"ANN_21","ANN01001",38.91004,-108.3738,1525
"ANN_21","ANN01002",38.91004,-108.3738,1525
"ANN_21","ANN01003",38.91004,-108.3738,1525
"ANN_21","ANN01004",38.91004,-108.3738,1525
"ANN_21","ANN01005",38.91004,-108.3738,1525
"ANN_21","ANN01006",38.91004,-108.3738,1525
"ANN_21","ANN01007",38.91004,-108.3738,1525
"ANN_21","ANN01008",38.91004,-108.3738,1525
"ANN_21","ANN01009",38.91004,-108.3738,1525
"ANN_21","ANN01010",38.91004,-108.3738,1525
"ANN_22","ANN01011",39.00672,-108.46384,1460
"ANN_22","ANN01012",39.00672,-108.46384,1460
"ANN_22","ANN01013",39.00672,-108.46384,1460
"ANN_22","ANN01014",39.00672,-108.46384,1460
"ANN_22","ANN01015",39.00672,-108.46384,1460
"ANN_22","ANN01016",39.00672,-108.46384,1460
"ANN_22","ANN01017",39.00672,-108.46384,1460
"ANN_22","ANN01018",39.00672,-108.46384,1460
"ANN_22","ANN01019",39.00672,-108.46384,1460
"ANN_22","ANN01020",39.00672,-108.46384,1460
"ANN_23","ANN01021",40.66257,-116.23876,1790
"ANN_23","ANN01022",40.66257,-116.23876,1790
"ANN_23","ANN01023",40.66257,-116.23876,1790
"ANN_23","ANN01024",40.66257,-116.23876,1790
"ANN_23","ANN01025",40.66257,-116.23876,1790
"ANN_23","ANN01026",40.66257,-116.23876,1790
"ANN_23","ANN01027",40.66257,-116.23876,1790
"ANN_23","ANN01028",40.66257,-116.23876,1790
"ANN_23","ANN01029",40.66257,-116.23876,1790
"ANN_23","ANN01030",40.66257,-116.23876,1790
"ANN_24","ANN01031",39.48892,-119.99511,1540
"ANN_24","ANN01032",39.48892,-119.99511,1540
"ANN_24","ANN01033",39.48892,-119.99511,1540
"ANN_24","ANN01034",39.48892,-119.99511,1540
"ANN_24","ANN01035",39.48892,-119.99511,1540
"ANN_24","ANN01036",39.48892,-119.99511,1540
"ANN_24","ANN01037",39.48892,-119.99511,1540
"ANN_24","ANN01038",39.48892,-119.99511,1540
"ANN_24","ANN01039",39.48892,-119.99511,1540
"ANN_24","ANN01040",39.48892,-119.99511,1540
"ANN_25","ANN01041",36.79654,-114.09841,480
"ANN_25","ANN01042",36.79654,-114.09841,480
"ANN_25","ANN01043",36.79654,-114.09841,480
"ANN_25","ANN01044",36.79654,-114.09841,480
"ANN_25","ANN01045",36.79654,-114.09841,480
"ANN_25","ANN01046",36.79654,-114.09841,480
"ANN_25","ANN01047",36.79654,-114.09841,480
"ANN_25","ANN01048",36.79654,-114.09841,480
"ANN_25","ANN01049",36.79654,-114.09841,480
"ANN_25","ANN01050",36.79654,-114.09841,480
"ANN_26","ANN01051",37.13733,-113.51348,875
"ANN_26","ANN01052",37.13733,-113.51348,875
"ANN_26","ANN01053",37.13733,-113.51348,875
"ANN_26","ANN01054",37.13733,-113.51348,875
"ANN_26","ANN01055",37.13733,-113.51348,875
"ANN_26","ANN01056",37.13733,-113.51348,875
"ANN_26","ANN01057",37.13733,-113.51348,875
"ANN_26","ANN01058",37.13733,-113.51348,875
"ANN_26","ANN01059",37.13733,-113.51348,875
"ANN_26","ANN01060",37.13733,-113.51348,875
"ANN_27","ANN01061",37.13137,-112.56561,1660
"ANN_27","ANN01062",37.13137,-112.56561,1660
"ANN_27","ANN01063",37.13137,-112.56561,1660
"ANN_27","ANN01064",37.13137,-112.56561,1660
"ANN_27","ANN01065",37.13137,-112.56561,1660
"ANN_27","ANN01066",37.13137,-112.56561,1660
"ANN_27","ANN01067",37.13137,-112.56561,1660
"ANN_27","ANN01068",37.13137,-112.56561,1660
"ANN_27","ANN01069",37.13137,-112.56561,1660
"ANN_27","ANN01070",37.13137,-112.56561,1660
"ANN_28","ANN01071",38.21652,-112.64767,1840
"ANN_28","ANN01072",38.21652,-112.64767,1840
"ANN_28","ANN01073",38.21652,-112.64767,1840
"ANN_28","ANN01074",38.21652,-112.64767,1840
"ANN_28","ANN01075",38.21652,-112.64767,1840
"ANN_28","ANN01076",38.21652,-112.64767,1840
"ANN_28","ANN01077",38.21652,-112.64767,1840
"ANN_28","ANN01078",38.21652,-112.64767,1840
"ANN_28","ANN01079",38.21652,-112.64767,1840
"ANN_28","ANN01080",38.21652,-112.64767,1840
"ANN_29","ANN01081",39.55006,-112.35661,1465
"ANN_29","ANN01082",39.55006,-112.35661,1465
"ANN_29","ANN01083",39.55006,-112.35661,1465
"ANN_29","ANN01084",39.55006,-112.35661,1465
"ANN_29","ANN01085",39.55006,-112.35661,1465
"ANN_29","ANN01086",39.55006,-112.35661,1465
"ANN_29","ANN01087",39.55006,-112.35661,1465
"ANN_29","ANN01088",39.55006,-112.35661,1465
"ANN_29","ANN01089",39.55006,-112.35661,1465
"ANN_29","ANN01090",39.55006,-112.35661,1465
"ANN_30","ANN01091",39.7148,-112.20662,1590
"ANN_30","ANN01092",39.7148,-112.20662,1590
"ANN_30","ANN01093",39.7148,-112.20662,1590
"ANN_30","ANN01094",39.7148,-112.20662,1590
"ANN_30","ANN01095",39.7148,-112.20662,1590
"ANN_30","ANN01096",39.7148,-112.20662,1590
"ANN_30","ANN01097",39.7148,-112.20662,1590
"ANN_30","ANN01098",39.7148,-112.20662,1590
"ANN_30","ANN01099",39.7148,-112.20662,1590
"ANN_30","ANN01100",39.7148,-112.20662,1590
"ANN_31","ANN01101",40.1781,-111.65071,1380
"ANN_31","ANN01102",40.1781,-111.65071,1380
"ANN_31","ANN01103",40.1781,-111.65071,1380
"ANN_31","ANN01104",40.1781,-111.65071,1380
"ANN_31","ANN01105",40.1781,-111.65071,1380
"ANN_31","ANN01106",40.1781,-111.65071,1380
"ANN_31","ANN01107",40.1781,-111.65071,1380
"ANN_31","ANN01108",40.1781,-111.65071,1380
"ANN_31","ANN01109",40.1781,-111.65071,1380
"ANN_31","ANN01110",40.1781,-111.65071,1380
"ANN_32","ANN01111",41.48524,-112.0556,1295
"ANN_32","ANN01112",41.48524,-112.0556,1295
"ANN_32","ANN01113",41.48524,-112.0556,1295
"ANN_32","ANN01114",41.48524,-112.0556,1295
"ANN_32","ANN01115",41.48524,-112.0556,1295
"ANN_32","ANN01116",41.48524,-112.0556,1295
"ANN_32","ANN01117",41.48524,-112.0556,1295
"ANN_32","ANN01118",41.48524,-112.0556,1295
"ANN_32","ANN01119",41.48524,-112.0556,1295
"ANN_32","ANN01120",41.48524,-112.0556,1295
"ANN_33","ANN01121",40.77115,-112.15004,1295
"ANN_33","ANN01122",40.77115,-112.15004,1295
"ANN_33","ANN01123",40.77115,-112.15004,1295
"ANN_33","ANN01124",40.77115,-112.15004,1295
"ANN_33","ANN01125",40.77115,-112.15004,1295
"ANN_33","ANN01126",40.77115,-112.15004,1295
"ANN_33","ANN01127",40.77115,-112.15004,1295
"ANN_33","ANN01128",40.77115,-112.15004,1295
"ANN_33","ANN01129",40.77115,-112.15004,1295
"ANN_33","ANN01130",40.77115,-112.15004,1295
"ANN_34","ANN01131",40.69149,-112.26423,1295
"ANN_34","ANN01132",40.69149,-112.26423,1295
"ANN_34","ANN01133",40.69149,-112.26423,1295
"ANN_34","ANN01134",40.69149,-112.26423,1295
"ANN_34","ANN01135",40.69149,-112.26423,1295
"ANN_34","ANN01136",40.69149,-112.26423,1295
"ANN_34","ANN01137",40.69149,-112.26423,1295
"ANN_34","ANN01138",40.69149,-112.26423,1295
"ANN_34","ANN01139",40.69149,-112.26423,1295
"ANN_34","ANN01140",40.69149,-112.26423,1295
"ANN_35","ANN01141",40.51274,-109.51947,1670
"ANN_35","ANN01142",40.51274,-109.51947,1670
"ANN_35","ANN01143",40.51274,-109.51947,1670
"ANN_35","ANN01144",40.51274,-109.51947,1670
"ANN_35","ANN01145",40.51274,-109.51947,1670
"ANN_35","ANN01146",40.51274,-109.51947,1670
"ANN_35","ANN01147",40.51274,-109.51947,1670
"ANN_35","ANN01148",40.51274,-109.51947,1670
"ANN_35","ANN01149",40.51274,-109.51947,1670
"ANN_35","ANN01150",40.51274,-109.51947,1670
"ANN_36","ANN01151",41.77426,-107.45885,2040
"ANN_36","ANN01152",41.77426,-107.45885,2040
"ANN_36","ANN01153",41.77426,-107.45885,2040
"ANN_36","ANN01154",41.77426,-107.45885,2040
"ANN_36","ANN01155",41.77426,-107.45885,2040
"ANN_36","ANN01156",41.77426,-107.45885,2040
"ANN_36","ANN01157",41.77426,-107.45885,2040
"ANN_36","ANN01158",41.77426,-107.45885,2040
"ANN_36","ANN01159",41.77426,-107.45885,2040
"ANN_36","ANN01160",41.77426,-107.45885,2040
"ANN_37","ANN01161",40.48679,-105.09619,1550
"ANN_37","ANN01162",40.48679,-105.09619,1550
"ANN_37","ANN01163",40.48679,-105.09619,1550
"ANN_37","ANN01164",40.48679,-105.09619,1550
"ANN_37","ANN01165",40.48679,-105.09619,1550
"ANN_37","ANN01166",40.48679,-105.09619,1550
"ANN_37","ANN01167",40.48679,-105.09619,1550
"ANN_37","ANN01168",40.48679,-105.09619,1550
"ANN_37","ANN01169",40.48679,-105.09619,1550
"ANN_37","ANN01170",40.48679,-105.09619,1550
"ANN_38","ANN01171",38.44118,-98.63231,555
"ANN_38","ANN01172",38.44118,-98.63231,555
"ANN_38","ANN01173",38.44118,-98.63231,555
"ANN_38","ANN01174",38.44118,-98.63231,555
"ANN_38","ANN01175",38.44118,-98.63231,555
"ANN_38","ANN01176",38.44118,-98.63231,555
"ANN_38","ANN01177",38.44118,-98.63231,555
"ANN_38","ANN01178",38.44118,-98.63231,555
"ANN_38","ANN01179",38.44118,-98.63231,555
"ANN_38","ANN01180",38.44118,-98.63231,555
"ANN_39","ANN01181",37.45911,-97.9179,445
"ANN_39","ANN01182",37.45911,-97.9179,445
"ANN_39","ANN01183",37.45911,-97.9179,445
"ANN_39","ANN01184",37.45911,-97.9179,445
"ANN_39","ANN01185",37.45911,-97.9179,445
"ANN_39","ANN01186",37.45911,-97.9179,445
"ANN_39","ANN01187",37.45911,-97.9179,445
"ANN_39","ANN01188",37.45911,-97.9179,445
"ANN_39","ANN01189",37.45911,-97.9179,445
"ANN_39","ANN01190",37.45911,-97.9179,445
"ANN_40","ANN01191",37.23327,-98.66459,555
"ANN_40","ANN01192",37.23327,-98.66459,555
"ANN_40","ANN01193",37.23327,-98.66459,555
"ANN_40","ANN01194",37.23327,-98.66459,555
