pop	V1	lat	long
Sp.457	Sp.457A5	51.96	-121.41
Sp.458	Sp.458A4	59.06	-121.28
Sp.458	Sp.458A3	59.06	-121.28
Sp.459	Sp.459A3	53.53	-124.78
Sp.459	Sp.459A4	53.53	-124.78
Sp.460	Sp.460A5	53.63	-122.33
Sp.460	Sp.460A7	53.63	-122.33
Sp.460	Sp.460A8	53.63	-122.33
Sp.461	Sp.461A3	54.9	-126.36
Sp.462	Sp.462A5	54.56	-127.15
Sp.462	Sp.462A7	54.56	-127.15
Sp.462	Sp.462A6	54.56	-127.15
Sp.463	Sp.463A3	58.08	-121.55
Sp.463	Sp.463A4	58.08	-121.55
Sp.464	Sp.464A4	56.96	-122.25
Sp.464	Sp.464A3	56.96	-122.25
Sp.465	Sp.465A3	57.8	-120.2
Sp.465	Sp.465A4	57.8	-120.2
Sp.466	Sp.466A5	51.78	-117.73
Sp.466	Sp.466A8	51.78	-117.73
Sp.466	Sp.466A7	51.78	-117.73
Sp.467	Sp.467A6	50.91	-116.91
Sp.467	Sp.467A8	50.91	-116.91
Sp.467	Sp.467A7	50.91	-116.91
Sp.468	Sp.468A7	50.01	-117.85
Sp.468	Sp.468A8	50.01	-117.85
Sp.469	Sp.469A6	54.93	-127.41
Sp.469	Sp.469A7	54.93	-127.41
Sp.470	Sp.470A5	51.9	-124.53
Sp.470	Sp.470A8	51.9	-124.53
Sp.470	Sp.470A6	51.9	-124.53
Sp.471	Sp.471A4	54.83	-125
Sp.471	Sp.471A3	54.83	-125
Sp.472	Sp.472A6	51.58	-123.08
Sp.472	Sp.472A8	51.58	-123.08
Sp.472	Sp.472A7	51.58	-123.08
Sp.473	Sp.473A8	52.91	-120.95
Sp.473	Sp.473A10	52.91	-120.95
Sp.474	Sp.474A4	49.33	-121.05
Sp.475	Sp.475A6	51.78	-120.21
Sp.475	Sp.475A7	51.78	-120.21
Sp.475	Sp.475A8	51.78	-120.21
Sp.476	Sp.476A3	51.11	-120.35
Sp.476	Sp.476A4	51.11	-120.35
Sp.477	Sp.477A3	50.98	-120.48
Sp.477	Sp.477A4	50.98	-120.48
Sp.478	Sp.478A3	49.65	-119.46
Sp.478	Sp.478A4	49.65	-119.46
Sp.479	Sp.479A7	50.23	-115.7
Sp.479	Sp.479A5	50.23	-115.7
Sp.480	Sp.480A6	50.15	-122.4
Sp.480	Sp.480A7	50.15	-122.4
Sp.480	Sp.480A8	50.15	-122.4
Sp.481	Sp.481A3	53.85	-124.23
Sp.481	Sp.481A4	53.85	-124.23
Sp.482	Sp.482A3	55.15	-122.91
Sp.482	Sp.482A4	55.15	-122.91
Sp.483	Sp.483A3	54.38	-122.75
Sp.483	Sp.483A4	54.38	-122.75
Sp.484	Sp.484A5	51.5	-117.18
Sp.484	Sp.484A7	51.5	-117.18
Sp.484	Sp.484A6	51.5	-117.18
Sp.485	Sp.485A5	50.45	-115.9
Sp.485	Sp.485A8	50.45	-115.9
Sp.485	Sp.485A6	50.45	-115.9
Sp.485	Sp.485A7	50.45	-115.9
Sp.486	Sp.486A3	49.75	-119.41
Sp.486	Sp.486A4	49.75	-119.41
Sp.487	Sp.487A3	51.6	-119.95
Sp.487	Sp.487A4	51.6	-119.95
Sp.488	Sp.488A6	51.93	-120.01
Sp.488	Sp.488A7	51.93	-120.01
Sp.488	Sp.488A8	51.93	-120.01
Sp.489	Sp.489A3	49.2	-118.65
Sp.489	Sp.489A4	49.2	-118.65
Sp.490	Sp.490A4	50.68	-118.11
Sp.490	Sp.490A3	50.68	-118.11
Sp.491	Sp.491A4	50.16	-118.7
Sp.491	Sp.491A3	50.16	-118.7
Sp.492	Sp.492A7	51.7	-124.7
Sp.492	Sp.492A9	51.7	-124.7
Sp.493	Sp.493A9	52.58	-120.36
Sp.493	Sp.493A10	52.58	-120.36
Sp.494	Sp.494A8	52.56	-121.58
Sp.494	Sp.494A10	52.56	-121.58
