pop	V1	lat	long
Pi.237	Pi.237A3	55.5	-123.79
Pi.237	Pi.237A5	55.5	-123.79
Pi.238	Pi.238A6	49.58	-120.38
Pi.238	Pi.238A4	49.58	-120.38
Pi.238	Pi.238A5	49.58	-120.38
Pi.239	Pi.239A4	50.85	-120.4
Pi.239	Pi.239A6	50.85	-120.4
Pi.239	Pi.239A5	50.85	-120.4
Pi.24	Pi.24A3	52.96	-115.91
Pi.240	Pi.240A4	56.21	-122.1
Pi.240	Pi.240A6	56.21	-122.1
Pi.240	Pi.240A5	56.21	-122.1
Pi.241	Pi.241A3	53.1	-122.76
Pi.241	Pi.241A2	53.1	-122.76
Pi.242	Pi.242A4	52.85	-122.61
Pi.242	Pi.242A3	52.85	-122.61
Pi.242	Pi.242A2	52.85	-122.61
Pi.243	Pi.243A4	53.95	-124.6
Pi.244	Pi.244A4	50.95	-122.3
Pi.244	Pi.244A5	50.95	-122.3
Pi.244	Pi.244A3	50.95	-122.3
Pi.245	Pi.245A5	56.08	-124.31
Pi.245	Pi.245A6	56.08	-124.31
Pi.245	Pi.245A4	56.08	-124.31
Pi.246	Pi.246A4	49.48	-119.31
Pi.246	Pi.246A5	49.48	-119.31
Pi.247	Pi.247A3	53.83	-126.55
Pi.247	Pi.247A2	53.83	-126.55
Pi.248	Pi.248A3	53.27	-124.5
Pi.248	Pi.248A2	53.27	-124.5
Pi.249	Pi.249A4	54.89	-125.21
Pi.249	Pi.249A5	54.89	-125.21
Pi.25	Pi.25A3	53.88	-116.83
Pi.25	Pi.25A2	53.88	-116.83
Pi.250	Pi.250A3	54.07	-127.24
Pi.250	Pi.250A2	54.07	-127.24
Pi.251	Pi.251A3	50.01	-120.11
Pi.251	Pi.251A4	50.01	-120.11
Pi.252	Pi.252A3	49.66	-120.55
Pi.252	Pi.252A4	49.66	-120.55
Pi.253	Pi.253A6	53.2	-123.35
Pi.253	Pi.253A5	53.2	-123.35
Pi.253	Pi.253A4	53.2	-123.35
Pi.254	Pi.254A4	55.02	-124.23
Pi.254	Pi.254A5	55.02	-124.23
Pi.254	Pi.254A6	55.02	-124.23
Pi.255	Pi.255A4	49.1	-120.37
Pi.255	Pi.255A5	49.1	-120.37
Pi.255	Pi.255A3	49.1	-120.37
Pi.256	Pi.256A3	53.35	-125.64
Pi.256	Pi.256A4	53.35	-125.64
Pi.257	Pi.257A3	53.21	-124.39
Pi.257	Pi.257A4	53.21	-124.39
Pi.258	Pi.258A3	49.29	-114.9
Pi.258	Pi.258A5	49.29	-114.9
Pi.259	Pi.259A3	52.58	-125.53
Pi.259	Pi.259A4	52.58	-125.53
Pi.26	Pi.26A3	58.63	-118.8
Pi.260	Pi.260A4	51.33	-122.55
Pi.260	Pi.260A5	51.33	-122.55
Pi.261	Pi.261A4	52.35	-122.95
Pi.261	Pi.261A5	52.35	-122.95
Pi.261	Pi.261A6	52.35	-122.95
Pi.262	Pi.262A4	50.18	-119.67
Pi.263	Pi.263A3	53.82	-123.12
Pi.263	Pi.263A4	53.82	-123.12
Pi.264	Pi.264A3	53.59	-124.85
Pi.264	Pi.264A2	53.59	-124.85
Pi.265	Pi.265A3	54.75	-124.12
Pi.265	Pi.265A2	54.75	-124.12
Pi.266	Pi.266A5	49.5	-120.65
Pi.266	Pi.266A3	49.5	-120.65
Pi.266	Pi.266A4	49.5	-120.65
Pi.267	Pi.267A6	52.68	-122.26
Pi.267	Pi.267A8	52.68	-122.26
Pi.268	Pi.268A3	54.76	-126.88
Pi.268	Pi.268A4	54.76	-126.88
Pi.269	Pi.269A2	54.79	-123.81
Pi.269	Pi.269A3	54.79	-123.81
Pi.27	Pi.27A3	56.55	-119.86
Pi.27	Pi.27A4	56.55	-119.86
Pi.270	Pi.270A8	52.91	-119.3
Pi.270	Pi.270A7	52.91	-119.3
Pi.271	Pi.271A4	49.43	-114.78
Pi.271	Pi.271A5	49.43	-114.78
Pi.271	Pi.271A6	49.43	-114.78
Pi.272	Pi.272A4	51.92	-123.43
Pi.273	Pi.273A5	51.69	-120.06
Pi.273	Pi.273A4	51.69	-120.06
Pi.273	Pi.273A6	51.69	-120.06
Pi.274	Pi.274A3	49.72	-118.93
Pi.274	Pi.274A4	49.72	-118.93
Pi.274	Pi.274A5	49.72	-118.93
Pi.275	Pi.275A5	49.88	-118.92
Pi.275	Pi.275A4	49.88	-118.92
Pi.275	Pi.275A6	49.88	-118.92
Pi.276	Pi.276A3	56.05	-124.59
Pi.276	Pi.276A4	56.05	-124.59
Pi.277	Pi.277A3	54.59	-123.17
Pi.277	Pi.277A4	54.59	-123.17
Pi.278	Pi.278A3	50.3	-120.89
Pi.278	Pi.278A4	50.3	-120.89
Pi.279	Pi.279A4	50.35	-120.65
Pi.279	Pi.279A5	50.35	-120.65
Pi.279	Pi.279A6	50.35	-120.65
Pi.28	Pi.28A3	57.76	-116.53
Pi.280	Pi.280A5	56.06	-124.56
Pi.280	Pi.280A3	56.06	-124.56
Pi.281	Pi.281A4	51.79	-120.53
Pi.29	Pi.29A3	53.68	-115.83
Pi.29	Pi.29A4	53.68	-115.83
Pi.3	Pi.3A3	54.71	-115.41
Pi.3	Pi.3A4	54.71	-115.41
Pi.30	Pi.30A3	49.66	-110.16
Pi.30	Pi.30A4	49.66	-110.16
Pi.31	Pi.31A2	49.63	-114.63
Pi.32	Pi.32A3	49.86	-114
Pi.32	Pi.32A2	49.86	-114
Pi.33	Pi.33A3	55.71	-119.66
Pi.33	Pi.33A2	55.71	-119.66
Pi.34	Pi.34A2	56.7	-119.2
Pi.35	Pi.35A4	56.33	-119.95
Pi.36	Pi.36A3	54.76	-119.4
Pi.36	Pi.36A4	54.76	-119.4
Pi.37	Pi.37A3	54.55	-119.2
Pi.37	Pi.37A4	54.55	-119.2
Pi.38	Pi.38A3	52.65	-115.1
Pi.39	Pi.39A4	52.5	-115.51
Pi.39	Pi.39A5	52.5	-115.51
Pi.39	Pi.39A6	52.5	-115.51
Pi.40	Pi.40A3	52.07	-115.48
Pi.40	Pi.40A2	52.07	-115.48
Pi.41	Pi.41A3	52.17	-115.43
Pi.42	Pi.42A3	51.95	-115.21
Pi.43	Pi.43A3	57.72	-119.54
Pi.44	Pi.44A4	53.94	-119.31
Pi.45	Pi.45A4	53.91	-118.91
Pi.45	Pi.45A5	53.91	-118.91
Pi.46	Pi.46A4	53.83	-119.61
Pi.46	Pi.46A3	53.83	-119.61
Pi.47	Pi.47A2	54.26	-116.86
Pi.47	Pi.47A3	54.26	-116.86
Pi.48	Pi.48A4	58.56	-119.3
Pi.48	Pi.48A3	58.56	-119.3
Pi.49	Pi.49A4	57.28	-118.4
Pi.49	Pi.49A3	57.28	-118.4
Pi.5	Pi.5A4	54.65	-118.83
Pi.50	Pi.50A3	57.23	-118.25
Pi.50	Pi.50A2	57.23	-118.25
Pi.51	Pi.51A3	54.36	-116.18
Pi.52	Pi.52A3	55.01	-115.17
Pi.52	Pi.52A4	55.01	-115.17
Pi.53	Pi.53A3	54.83	-116.44
Pi.53	Pi.53A4	54.83	-116.44
Pi.54	Pi.54A4	52.5	-116.02
Pi.54	Pi.54A2	52.5	-116.02
Pi.55	Pi.55A3	55.52	-113.97
Pi.55	Pi.55A2	55.52	-113.97
Pi.56	Pi.56A3	49.73	-114.44
Pi.56	Pi.56A4	49.73	-114.44
Pi.56	Pi.56A5	49.73	-114.44
Pi.57	Pi.57A5	56.63	-119.2
Pi.57	Pi.57A4	56.63	-119.2
Pi.57	Pi.57A6	56.63	-119.2
Pi.58	Pi.58A3	57.32	-118.96
Pi.58	Pi.58A2	57.32	-118.96
Pi.580	Pi.580A3	39.436	-122.958
Pi.581	Pi.581A4	47.01	-122.87
Pi.582	Pi.582A3	39.57	-108.19
Pi.583	Pi.583A3	59.6	-128.54
Pi.584	Pi.584A3	42.23	-122.34
Pi.584	Pi.584A4	42.23	-122.34
Pi.59	Pi.59A3	54.74	-117.39
Pi.59	Pi.59A4	54.74	-117.39
Pi.6	Pi.6A3	54.41	-119
Pi.6	Pi.6A2	54.41	-119
Pi.60	Pi.60A3	54.4	-115.56
Pi.60	Pi.60A4	54.4	-115.56
Pi.61	Pi.61A3	52.13	-116.85
Pi.61	Pi.61A4	52.13	-116.85
Pi.62	Pi.62A3	52.1	-116.56
Pi.62	Pi.62A2	52.1	-116.56
Pi.63	Pi.63A4	54.73	-115.9
Pi.63	Pi.63A3	54.73	-115.9
Pi.64	Pi.64A4	51.57	-114.62
Pi.64	Pi.64A5	51.57	-114.62
Pi.64	Pi.64A6	51.57	-114.62
Pi.65	Pi.65A3	51.13	-114.62
Pi.65	Pi.65A4	51.13	-114.62
Pi.66	Pi.66A3	53.05	-117.39
Pi.66	Pi.66A2	53.05	-117.39
Pi.67	Pi.67A4	49.57	-114.73
Pi.67	Pi.67A3	49.57	-114.73
Pi.68	Pi.68A6	53.33	-117.03
Pi.68	Pi.68A4	53.33	-117.03
Pi.68	Pi.68A5	53.33	-117.03
Pi.69	Pi.69A3	52.95	-116.4
Pi.69	Pi.69A4	52.95	-116.4
Pi.7	Pi.7A3	55.63	-113.45
Pi.7	Pi.7A4	55.63	-113.45
Pi.70	Pi.70A4	53.27	-116.66
Pi.70	Pi.70A5	53.27	-116.66
Pi.70	Pi.70A3	53.27	-116.66
Pi.71	Pi.71A4	53.03	-117.37
Pi.71	Pi.71A6	53.03	-117.37
Pi.72	Pi.72A5	53.12	-117.15
Pi.72	Pi.72A3	53.12	-117.15
Pi.73	Pi.73A3	50.15	-114.48
Pi.73	Pi.73A4	50.15	-114.48
Pi.74	Pi.74A4	52.93	-117.32
Pi.74	Pi.74A5	52.93	-117.32
Pi.75	Pi.75A2	53.05	-116.03
Pi.75	Pi.75A3	53.05	-116.03
Pi.77	Pi.77A4	56.46	-117.39
Pi.78	Pi.78A3	53.67	-117.45
Pi.78	Pi.78A4	53.67	-117.45
Pi.79	Pi.79A3	52.27	-115.06
