Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type,,
Populus deltoides,22,Pdeltoides_UF0203,USA,,33.95,-91.03,47,Kirst,Capture,,
Populus deltoides,11,Pdeltoides_UF0209,USA,,31.07,-85.42,59,Kirst,Capture,,
Populus deltoides,11,Pdeltoides_UF0210,USA,,31.07,-85.42,59,Kirst,Capture,,
Populus deltoides,9,Pdeltoides_UF0211,USA,,32.21,-86.64,65,Kirst,Capture,,
Populus deltoides,22,Pdeltoides_UF0214,USA,,34.08,-90.87,46,Kirst,Capture,,
Populus deltoides,21,Pdeltoides_UF0216,USA,,33.1,-91.17,38,Kirst,Capture,,
Populus deltoides,25,Pdeltoides_UF0217,USA,,30,-90.8,7,Kirst,Capture,,
Populus deltoides,5,Pdeltoides_UF0218,USA,,32.8,-80.56,8,Kirst,Capture,,
Populus deltoides,5,Pdeltoides_UF0219,USA,,32.8,-80.56,8,Kirst,Capture,,
Populus deltoides,25,Pdeltoides_UF0220,USA,,30.42,-91.17,12,Kirst,Capture,,
Populus deltoides,23,Pdeltoides_UF0221,USA,,35.67,-89.84,74,Kirst,Capture,,
Populus deltoides,1,Pdeltoides_UF0222,USA,,30.41,-85.24,39,Kirst,Capture,,
Populus deltoides,5,Pdeltoides_UF0224,USA,,32.8,-80.56,8,Kirst,Capture,,
Populus deltoides,20,Pdeltoides_UF0227,USA,,32.27,-90.97,25,Kirst,Capture,,
Populus deltoides,35,Pdeltoides_UF0229,USA,,33.75,-94.75,107,Kirst,Capture,,
Populus deltoides,34,Pdeltoides_UF0251,USA,,33.58,-93.78,85,Kirst,Capture,,
Populus deltoides,34,Pdeltoides_UF0255,USA,,33.55,-94.29,91,Kirst,Capture,,
Populus deltoides,34,Pdeltoides_UF0259,USA,,33.17,-93.83,64,Kirst,Capture,,
Populus deltoides,20,Pdeltoides_UF0261,USA,,32.65,-91.03,33,Kirst,Capture,,
Populus deltoides,16,Pdeltoides_UF0262,USA,,33.48,-88.79,92,Kirst,Capture,,
Populus deltoides,19,Pdeltoides_UF0263,USA,,31.17,-91.58,15,Kirst,Capture,,
Populus deltoides,1,Pdeltoides_UF0264,USA,,30.7,-84.86,40,Kirst,Capture,,
Populus deltoides,22,Pdeltoides_UF0265,USA,,33.67,-91.17,49,Kirst,Capture,,
Populus deltoides,13,Pdeltoides_UF0266,USA,,31.27,-87.96,15,Kirst,Capture,,
Populus deltoides,22,Pdeltoides_UF0268,USA,,33.95,-91.03,47,Kirst,Capture,,
Populus deltoides,14,Pdeltoides_UF0269,USA,,31.62,-87.69,99,Kirst,Capture,,
Populus deltoides,25,Pdeltoides_UF0271,USA,,30.15,-91.02,8,Kirst,Capture,,
Populus deltoides,20,Pdeltoides_UF0273,USA,,32.85,-91.12,31,Kirst,Capture,,
Populus deltoides,22,Pdeltoides_UF0275,USA,,33.5,-91.17,43,Kirst,Capture,,
Populus deltoides,25,Pdeltoides_UF0276,USA,,30.6,-91.32,12,Kirst,Capture,,
Populus deltoides,23,Pdeltoides_UF0281,USA,,34.72,-90.57,55,Kirst,Capture,,
Populus deltoides,21,Pdeltoides_UF0287,USA,,33.25,-91,33,Kirst,Capture,,
Populus deltoides,22,Pdeltoides_UF0304,USA,,33.81,-91.08,43,Kirst,Capture,,
