## METRICS CLASS	picard.analysis.CollectWgsMetricsWithNonZeroCoverage$WgsMetricsWithNonZeroCoverage
CATEGORY	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
NON_ZERO_REGIONS	186092940	5.100321	8.64752	2	1	0	0.008804	0	0.000695	0.007875	0.068316	0.000139	0.08583	1	0.22511	0.149788	0.106849	0.075037	0.050867	0.032836	0.011912	0.003738	0.001186	0.000464	0.00024	0.000159	0.000117	5.100321	5.100321	5.100321	0.614372	4	Pdeltoides_UF0030
WHOLE_GENOME	432523942	2.803751	7.704865	0	0	0	0.009404	0	0.000699	0.008541	0.062018	0.00042	0.081081	0.490468	0.114632	0.076555	0.056531	0.04218	0.031277	0.022754	0.011084	0.004902	0.002044	0.000858	0.00039	0.000204	0.000125	?	?	?	0.308571	2	Pdeltoides_UF0031
NON_ZERO_REGIONS	212139120	5.716482	10.216985	2	1	0	0.009404	0	0.000699	0.008541	0.062018	0.00042	0.081081	1	0.23372	0.156085	0.115259	0.086	0.06377	0.046393	0.022598	0.009994	0.004167	0.001749	0.000795	0.000416	0.000254	5.716482	5.716482	5.716482	0.627195	4	Pdeltoides_UF0031
WHOLE_GENOME	432523942	1.591217	4.154986	0	0	0	0.011583	0	0.001208	0.00844	0.077431	0.000795	0.099456	0.448193	0.074798	0.037188	0.021604	0.011935	0.006272	0.00328	0.001003	0.000384	0.000191	0.000122	0.000089	0.000073	0.000062	?	?	?	0.276425	1	Pdeltoides_UF0034
NON_ZERO_REGIONS	193854128	3.550296	5.618152	2	1	0	0.011583	0	0.001208	0.00844	0.077431	0.000795	0.099456	1	0.166887	0.082974	0.048202	0.02663	0.013994	0.007319	0.002239	0.000856	0.000427	0.000273	0.0002	0.000163	0.000138	3.550296	3.550296	3.550296	0.614569	4	Pdeltoides_UF0034
WHOLE_GENOME	432523942	3.174893	9.514733	1	1	0	0.009467	0	0.000818	0.014283	0.074861	0.002229	0.101659	0.501053	0.113953	0.073189	0.057023	0.045535	0.036547	0.029184	0.018063	0.010664	0.006061	0.003372	0.001826	0.000999	0.000575	?	?	?	0.308333	2	Pdeltoides_UF0035
NON_ZERO_REGIONS	216717319	6.336445	12.674654	2	1	0	0.009467	0	0.000818	0.014283	0.074861	0.002229	0.101659	1	0.227427	0.146071	0.113807	0.090879	0.072941	0.058245	0.036049	0.021283	0.012097	0.006729	0.003645	0.001995	0.001148	6.336445	6.336445	6.336445	0.612594	4	Pdeltoides_UF0035
WHOLE_GENOME	432523942	2.290824	7.051712	1	1	0	0.009476	0	0.001012	0.008758	0.074648	0.005975	0.099869	0.500369	0.101566	0.058647	0.038205	0.024599	0.015514	0.009729	0.004183	0.002369	0.001743	0.00145	0.001238	0.001044	0.000858	?	?	?	0.309681	2	Pdeltoides_UF0036
NON_ZERO_REGIONS	216421540	4.57827	9.429072	2	1	0	0.009476	0	0.001012	0.008758	0.074648	0.005975	0.099869	1	0.202981	0.117208	0.076353	0.049162	0.031004	0.019444	0.008359	0.004735	0.003483	0.002898	0.002475	0.002087	0.001716	4.57827	4.57827	4.57827	0.616974	4	Pdeltoides_UF0036
WHOLE_GENOME	432523942	1.438089	4.36675	0	0	0	0.011289	0	0.001113	0.010636	0.086025	0.001812	0.110876	0.413028	0.068317	0.035369	0.01921	0.010008	0.005287	0.003064	0.001469	0.00087	0.000489	0.000278	0.000183	0.000137	0.000113	?	?	?	0.245739	1	Pdeltoides_UF0038
