## METRICS CLASS	picard.analysis.CollectWgsMetricsWithNonZeroCoverage$WgsMetricsWithNonZeroCoverage
CATEGORY	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
WHOLE_GENOME	119482896	34.204783	20.907827	35	10	0	0.018029	0	0.002571	0.127751	0.002375	0.038864	0.18959	0.928396	0.908082	0.886795	0.855626	0.807519	0.735881	0.637619	0.384197	0.155957	0.044411	0.016142	0.010623	0.008271	0.006659	1.710239	4.886398	?	0.917144	11	Athaliana_SWE_1552
NON_ZERO_REGIONS	110927502	36.842861	19.330223	36	10	0	0.018029	0	0.002571	0.127751	0.002375	0.038864	0.18959	1	0.978119	0.95519	0.921617	0.8698	0.792637	0.686796	0.413828	0.167985	0.047836	0.017387	0.011442	0.008909	0.007173	1.535119	2.167227	3.684286	0.986198	19	Athaliana_SWE_1552
WHOLE_GENOME	119482896	13.895792	14.357575	13	6	0	0.028313	0	0.003215	0.018418	0.003964	0.044849	0.098759	0.917861	0.839232	0.646816	0.410604	0.214876	0.097984	0.044248	0.013694	0.007527	0.005368	0.004278	0.003645	0.003246	0.002975	2.315965	6.947896	?	0.86757	9	Athaliana_SWE_5830
NON_ZERO_REGIONS	109668684	15.139321	14.344378	13	5	0	0.028313	0	0.003215	0.018418	0.003964	0.044849	0.098759	1	0.914335	0.704699	0.447349	0.234105	0.106752	0.048208	0.01492	0.008201	0.005848	0.00466	0.003972	0.003537	0.003241	1.892415	3.027864	5.04644	0.945088	13	Athaliana_SWE_5830
WHOLE_GENOME	119482896	13.539126	12.593851	13	5	0	0.031052	0	0.002552	0.026276	0.03409	0.030457	0.124427	0.918874	0.840333	0.657969	0.412139	0.20006	0.080172	0.032093	0.010272	0.00614	0.004459	0.003574	0.003036	0.002689	0.002439	2.256521	6.769563	?	0.864884	9	Athaliana_SWE_5831
NON_ZERO_REGIONS	109789734	14.734474	12.449709	14	5	0	0.031052	0	0.002552	0.026276	0.03409	0.030457	0.124427	1	0.914525	0.71606	0.448526	0.217723	0.08725	0.034927	0.011179	0.006682	0.004853	0.00389	0.003305	0.002926	0.002654	1.841809	2.946895	4.911491	0.940899	12	Athaliana_SWE_5831
WHOLE_GENOME	119482896	20.916691	17.157936	20	8	0	0.023035	0	0.001791	0.014111	0.027706	0.032738	0.099381	0.9204	0.874443	0.795702	0.672762	0.516065	0.353087	0.215399	0.064688	0.021619	0.011086	0.007577	0.005865	0.004799	0.004085	2.324077	10.458346	?	0.897318	10	Athaliana_SWE_5832
NON_ZERO_REGIONS	109972032	22.725659	16.695668	21	7	0	0.023035	0	0.001791	0.014111	0.027706	0.032738	0.099381	1	0.950069	0.864518	0.730945	0.560697	0.383623	0.234028	0.070282	0.023488	0.012045	0.008233	0.006372	0.005214	0.004439	1.893805	2.840707	4.545132	0.974823	16	Athaliana_SWE_5832
WHOLE_GENOME	119482896	32.937442	20.438942	34	10	0	0.019466	0	0.00189	0.072284	0.035388	0.045675	0.174702	0.930758	0.910746	0.888153	0.852747	0.798829	0.720901	0.615979	0.341932	0.113331	0.030509	0.015115	0.010922	0.008266	0.006519	1.73355	4.705349	?	0.919393	11	Athaliana_SWE_5836
NON_ZERO_REGIONS	111209713	35.387745	19.029378	35	9	0	0.019466	0	0.00189	0.072284	0.035388	0.045675	0.174702	1	0.978499	0.954225	0.916185	0.858256	0.77453	0.661803	0.36737	0.121762	0.032779	0.016239	0.011735	0.008881	0.007004	1.538598	2.211734	3.538774	0.986984	19	Athaliana_SWE_5836
WHOLE_GENOME	119482896	7.775311	9.669122	7	4	0	0.039181	0	0.002913	0.046829	0.012423	0.042951	0.144296	0.887938	0.647382	0.311962	0.113391	0.038489	0.015558	0.00826	0.004206	0.00306	0.002535	0.002232	0.001999	0.0018	0.001637	3.887656	?	?	0.732424	6	Athaliana_SWE_5856
NON_ZERO_REGIONS	106093419	8.756591	9.833533	7	3	0	0.039181	0	0.002913	0.046829	0.012423	0.042951	0.144296	1	0.729084	0.351333	0.127702	0.043346	0.017522	0.009303	0.004737	0.003447	0.002855	0.002513	0.002251	0.002028	0.001844	2.189148	4.378296	8.756591	0.823544	8	Athaliana_SWE_5856
WHOLE_GENOME	119482896	12.194287	12.739241	12	4	0	0.024617	0	0.002375	0.012803	0.003377	0.041143	0.084315	0.923818	0.865875	0.635768	0.303247	0.096182	0.029887	0.014948	0.008098	0.005543	0.004256	0.003589	0.003218	0.002978	0.002793	2.032381	4.064762	?	0.883322	9	Athaliana_SWE_5860
NON_ZERO_REGIONS	110380491	13.199875	12.74353	12	4	0	0.024617	0	0.002375	0.012803	0.003377	0.041143	0.084315	1	0.937278	0.688196	0.328254	0.104113	0.032352	0.01618	0.008766	0.006	0.004607	0.003885	0.003484	0.003223	0.003023	1.649984	2.199979	3.299969	0.956094	14	Athaliana_SWE_5860
WHOLE_GENOME	119482896	40.346161	24.069486	40	12	0	0.021846	0	0.001753	0.01873	0.005531	0.059024	0.106884	0.932218	0.919901	0.908642	0.890535	0.857903	0.803769	0.725579	0.517549	0.296086	0.133435	0.053574	0.024948	0.015619	0.011844	1.613846	3.36218	?	0.925696	11	Athaliana_SWE_5865
NON_ZERO_REGIONS	111384158	43.279729	22.237355	42	11	0	0.021846	0	0.001753	0.01873	0.005531	0.059024	0.106884	1	0.986787	0.974709	0.955286	0.920281	0.862211	0.778336	0.55518	0.317614	0.143137	0.057469	0.026762	0.016755	0.012705	1.545705	1.96726	2.885315	0.992922	22	Athaliana_SWE_5865
WHOLE_GENOME	119482896	16.805412	14.560899	16	7	0	0.024013	0	0.002615	0.021118	0.015511	0.030944	0.0942	0.918057	0.863017	0.751255	0.572924	0.364626	0.188478	0.08294	0.01744	0.007961	0.00535	0.004164	0.0035	0.003081	0.002797	2.100677	8.402706	?	0.883571	9	Athaliana_SWE_5867
NON_ZERO_REGIONS	109692156	18.305405	14.26485	17	6	0	0.024013	0	0.002615	0.021118	0.015511	0.030944	0.0942	1	0.940047	0.81831	0.624061	0.397171	0.205301	0.090343	0.018996	0.008672	0.005828	0.004536	0.003812	0.003356	0.003047	1.83054	2.615058	4.576351	0.96226	14	Athaliana_SWE_5867
WHOLE_GENOME	119482896	9.895441	11.883584	9	4	0	0.030352	0	0.003482	0.032319	0.006441	0.039936	0.112531	0.90891	0.800428	0.483451	0.168908	0.042089	0.013766	0.007784	0.004756	0.003745	0.003216	0.002898	0.002695	0.002543	0.002424	1.979088	9.895441	?	0.838166	8	Athaliana_SWE_6009
NON_ZERO_REGIONS	108599163	10.887156	12.023957	10	3	0	0.030352	0	0.003482	0.032319	0.006441	0.039936	0.112531	1	0.880646	0.531902	0.185836	0.046307	0.015145	0.008564	0.005233	0.004121	0.003538	0.003189	0.002965	0.002797	0.002667	1.814526	2.721789	3.629052	0.921747	11	Athaliana_SWE_6009
WHOLE_GENOME	119482896	43.767358	29.151899	44	17	0	0.02156	0	0.002098	0.022487	0.006869	0.04623	0.099243	0.923919	0.897025	0.870798	0.839521	0.800693	0.753505	0.698207	0.566903	0.413771	0.258893	0.138948	0.068442	0.034883	0.020647	2.188368	10.94184	?	0.909856	10	Athaliana_SWE_6010
NON_ZERO_REGIONS	110392571	47.3714	27.369409	46	16	0	0.02156	0	0.002098	0.022487	0.006869	0.04623	0.099243	1	0.970891	0.942505	0.908652	0.866627	0.815553	0.755701	0.613585	0.447843	0.280212	0.15039	0.074078	0.037755	0.022347	1.821977	2.960713	5.921425	0.984684	18	Athaliana_SWE_6010
WHOLE_GENOME	119482896	29.432286	19.475111	30	7	0	0.026967	0	0.002391	0.03679	0.001238	0.082452	0.149838	0.924762	0.904749	0.885552	0.8564	0.799955	0.690469	0.521071	0.171207	0.039226	0.019222	0.013714	0.01023	0.008094	0.006794	1.549068	4.905381	?	0.914191	11	Athaliana_SWE_6011
NON_ZERO_REGIONS	110493268	31.826869	18.273635	31	6	0	0.026967	0	0.002391	0.03679	0.001238	0.082452	0.149838	1	0.978358	0.9576	0.926076	0.865038	0.746644	0.563465	0.185137	0.042417	0.020786	0.014829	0.011063	0.008753	0.007347	1.383777	1.872169	2.893352	0.987869	19	Athaliana_SWE_6011
WHOLE_GENOME	119482896	16.113567	13.587096	16	5	0	0.027422	0	0.003345	0.01518	0.004757	0.026879	0.077582	0.918544	0.886017	0.80056	0.586733	0.301211	0.106182	0.033992	0.011182	0.006777	0.004915	0.003973	0.003426	0.003079	0.002845	1.611357	5.371189	?	0.8988	10	Athaliana_SWE_6012
NON_ZERO_REGIONS	109750317	17.542507	13.26322	17	4	0	0.027422	0	0.003345	0.01518	0.004757	0.026879	0.077582	1	0.964589	0.871553	0.638764	0.327922	0.115598	0.037007	0.012173	0.007378	0.005351	0.004325	0.00373	0.003352	0.003098	1.594773	2.192813	2.923751	0.978378	17	Athaliana_SWE_6012
WHOLE_GENOME	119482896	14.958009	14.397786	14	6	0	0.031598	0	0.002601	0.015119	0.028731	0.035219	0.113268	0.91803	0.852006	0.688518	0.465549	0.262155	0.127915	0.059479	0.017044	0.008467	0.005722	0.004424	0.003703	0.003252	0.002957	2.493001	7.479004	?	0.871677	9	Athaliana_SWE_6013
NON_ZERO_REGIONS	109688829	16.293602	14.284397	15	5	0	0.031598	0	0.002601	0.015119	0.028731	0.035219	0.113268	1	0.928082	0.749995	0.507118	0.285563	0.139336	0.06479	0.018566	0.009224	0.006233	0.004819	0.004033	0.003542	0.003221	2.0367	2.7156	4.073401	0.949429	13	Athaliana_SWE_6013
WHOLE_GENOME	119482896	9.705196	11.560568	8	5	0	0.033962	0	0.003067	0.035271	0.005841	0.04319	0.121331	0.886443	0.683465	0.442835	0.229904	0.09432	0.03525	0.015204	0.006017	0.00394	0.003051	0.002571	0.002275	0.002073	0.001918	4.852598	?	?	0.751284	6	Athaliana_SWE_6016
