Orthogroup,At Genes,Tau Min,Tau Z,At Node Betweenness Max,At Node Betweenness Z,At Node Strength Max,At Node Strength Z,At Node Degree Max,At Node Degree Z,At Node Closeness Max,At Node Closeness Z
OG0009806,AT4G09890,0.70225378,-0.225182828,22057.56667,-0.213226977,854.0737,-0.663839848,280,-0.660810849,9.44E-06,-0.416757358
OG0009807,AT4G10130,0.522589844,0.746491062,36070.06667,0.754970203,1960.5863,0.193360854,639,0.243500547,9.85E-06,0.255105733
OG0009808,DET1,0.486873342,0.974762457,46795.68333,1.390150238,1944.3453,0.179129522,665,0.302207437,1.02E-05,1.489553859
OG0009809,LHCB5,0.787606793,-0.620989141,2388.166667,-1.888551395,1424.0077,-0.219452068,264,-0.704571167,8.31E-06,-1.279067286
OG0009810,MTSSB,0.761144883,-0.48588501,8978,-1.134872084,2759.7547,0.786479527,786,0.628620887,9.26E-06,-0.610569354
OG0009811,HMA1,0.45505276,1.203593818,51638.36667,1.611885309,2284.5968,0.433397714,757,0.553299674,1.01E-05,1.166107259
OG0009812,AT2G25530,0.803454715,-0.678297896,15461.5,-0.664977293,949.8107,-0.570389733,268,-0.693313924,9.31E-06,-0.559333682
OG0009813,AT2G25830,0.588108225,0.362925187,10650.33333,-1.008029964,2527.2197,0.609104585,743,0.514726291,9.54E-06,-0.286015083
OG0009814,AT5G37590,0.712460004,-0.272438655,30067.03333,0.355166549,1703.8239,0.00182433,567,0.078221795,9.61E-06,-0.173879437
OG0009815,SOS4,0.515483812,0.789359133,54504.4,1.741969232,1416.7273,-0.223814683,497,-0.087680015,1.00E-05,0.689066891
OG0009816,AT5G38460,0.677757576,-0.10645386,33136.3,0.571463361,2798.2117,0.811161088,857,0.8350536,1.01E-05,1.246009804
OG0009817,AT5G39790,0.654612055,-0.00162557,37880.5,0.870926521,1220.6823,-0.369127095,418,-0.282216147,9.61E-06,-0.168325739
OG0009818,AT2G04690,0.588469107,0.359770209,30521.5,0.391353244,1504.385,-0.151695049,490,-0.106009312,9.74E-06,0.046841572
OG0009819,UPM1,0.751607423,-0.443083334,17725.73333,-0.522726659,868.9163,-0.648004488,239,-0.780280788,9.44E-06,-0.423066858
OG0009820,POLA3,0.720199134,-0.30851082,4921,-1.537333966,1905.4742,0.152002629,341,-0.476563508,8.98E-06,-0.86163412
OG0009821,AT4G38760,0.569712808,0.46965162,11945.66667,-0.917178702,1995.1864,0.218517768,568,0.080051846,9.55E-06,-0.268951499
OG0009822,AT2G21350/AT4G39040,0.628293135,-0.467672422,17286.66667,-0.554008508,2672.0445,0.716311339,712,0.429393244,9.48E-06,-0.367825443
OG0009823,AT4G38020,0.495933014,0.913829375,11751.5,-0.934448131,2230.5519,0.391681519,654,0.271474381,9.41E-06,-0.448477209
OG0009824,AT4G37608,0.624698109,0.161931865,NA,NA,NA,NA,NA,NA,NA,NA
OG0009825,HCF164,0.684528415,-0.141302246,17277.06667,-0.554717621,2045.1088,0.256990856,627,0.211050158,9.58E-06,-0.215093626
